case_id,evidence_status,source_type,source_name,source_url,local_file,evidence_reference,evidence_text,verification_notes
CASE014,REFERENCE,GitHub lab guide,CCNA Networking Portfolio - VLAN & Inter-VLAN Routing,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/switching-labs/vlan-intervlan,evidence/public-labs/portfolio/vlan-intervlan-LAB_GUIDE.md,VLAN creation and save-config sections,The guide provides VLAN creation commands and write-memory steps for a switch lab.; It does not show the case's missing/unsaved state.,See evidence_text; source artifact remains unverified.
CASE015,PENDING,None,None,,,No suitable directly matching public evidence retained,No downloaded source in this pass documented the exact down/down host-interface fault.; Packet Tracer verification remains required.,See evidence_text; source artifact remains unverified.
CASE016,PENDING,None,None,,,No suitable directly matching public evidence retained,No downloaded source in this pass documented the exact administratively-down port fault.; Packet Tracer verification remains required.,See evidence_text; source artifact remains unverified.
CASE017,REFERENCE,GitHub NAT lab,CCNA Networking Portfolio - Dynamic NAT with Pool,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/security-labs/nat-pat/dynamic-nat,evidence/public-labs/portfolio/dynamic-nat-README.md,NAT topology and show ip nat translations sections,The guide documents an inside LAN; NAT edge router; ISP router; pool; ACL match; and translation verification.; Reference material only; no independently generated translation output.,See evidence_text; source artifact remains unverified.
CASE018,REFERENCE,GitHub NAT lab,CCNA Networking Portfolio - Dynamic NAT with Pool,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/security-labs/nat-pat/dynamic-nat,evidence/public-labs/portfolio/dynamic-nat-README.md,NAT pool and ACL match sections,The guide documents multiple inside hosts/subnets and an ACL selecting inside traffic for NAT.; The exact excluded-subnet fault is not documented as an observed result.,See evidence_text; source artifact remains unverified.
CASE019,REFERENCE,GitHub NAT lab,CCNA Networking Portfolio - Dynamic NAT with Pool,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/security-labs/nat-pat/dynamic-nat,evidence/public-labs/portfolio/dynamic-nat-README.md,NAT configuration and translation verification sections,The guide identifies the NAT pool; ACL; binding; and show ip nat translations check.; Reference material only; no independent inspection of the binary topology.,See evidence_text; source artifact remains unverified.
CASE020,REFERENCE,GitHub ACL lab,CCNA Networking Portfolio - ACL Troubleshooting and Design,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/security-labs/acls/standard-extended-named-lab,evidence/public-labs/portfolio/acl-README.md,ACL deny and applied-interface sections,The guide documents ACL filtering; placement; and traffic restriction on a router-on-a-stick topology.; Reference material only; this case's exact web-server path was not independently tested.,See evidence_text; source artifact remains unverified.
CASE021,REFERENCE,GitHub ACL lab,CCNA Networking Portfolio - ACL Troubleshooting and Design,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/security-labs/acls/standard-extended-named-lab,evidence/public-labs/portfolio/acl-README.md,Extended ACL and protocol filtering sections,The guide documents extended ACL behavior and protocol-specific restrictions relevant to HTTP filtering.; No TCP/80 output for this case was independently inspected.,See evidence_text; source artifact remains unverified.
CASE022,REFERENCE,GitHub ACL lab,CCNA Networking Portfolio - ACL Troubleshooting and Design,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/security-labs/acls/standard-extended-named-lab,evidence/public-labs/portfolio/acl-README.md,Source-based ACL matching sections,The guide explains source matching and ACL placement; which supports investigating a single blocked client.; Reference material only; no client-specific hit counter was independently verified.,See evidence_text; source artifact remains unverified.
CASE023,PENDING,None,None,,,No suitable directly matching public evidence retained,The collected ACL and wireless sources did not document a guest-SSID-to-internal-server isolation fault.; Packet Tracer wireless verification remains required.,See evidence_text; source artifact remains unverified.
CASE024,REFERENCE,Packet Tracer lab listing,DHCP + INTERVLAN + DNS + EMAIL,https://github.com/LuqmanKt98/Cisco-Packet-Tracer/blob/main/DHCP%20%2B%20INTERVLAN%20%2B%20DNS%20%2B%20EMAIL.pkt,,Public repository file listing,The listed lab combines DHCP and inter-VLAN components that are relevant to a wireless VLAN DHCP path; but it does not mention wireless.; Do not treat this as wireless evidence; exact AP/VLAN mapping remains unverified.,See evidence_text; source artifact remains unverified.
CASE025,PENDING,None,None,,,No suitable directly matching public evidence retained,No collected source documented wireless channel interference or unstable AP connectivity.; Packet Tracer wireless verification remains required.,See evidence_text; source artifact remains unverified.
CASE026,VERIFIED,Public lab evidence + paired solution,CCNA Networking Portfolio - Variant 1 Wrong VLAN Assignment,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/switching-labs/vlan-intervlan/variant1-broken,evidence/public-labs/portfolio/vlan-variant1-broken-README.md,Explicit wrong access VLAN; failed gateway ping; corrected Gi0/2 VLAN 20,The broken README identifies the wrong VLAN and failed gateway ping; the fixed README documents the corrected Gi0/2 assignment and successful gateway result; failure and correction screenshots were inspected. Screenshots: evidence/public-labs/portfolio/vlan-variant1-broken-pc2-ping-fail.png and evidence/public-labs/portfolio/vlan-variant1-fixed/fixed_vlan_assignment.png.,Verified from paired public lab documentation and screenshots; not independently rerun in Packet Tracer.
CASE027,REFERENCE,Packet Tracer lab listing,DHCP + INTERVLAN + DNS + EMAIL,https://github.com/LuqmanKt98/Cisco-Packet-Tracer/blob/main/DHCP%20%2B%20INTERVLAN%20%2B%20DNS%20%2B%20EMAIL.pkt,,Public repository file listing,The listed lab includes inter-VLAN and DNS components relevant to a remote DNS path.; The route/ACL cause is not identified by the listing; case remains reference only.,See evidence_text; source artifact remains unverified.
CASE028,PENDING,None,None,,,No suitable directly matching public evidence retained,No collected source documented two hosts configured with the same IPv4 address.; Packet Tracer verification remains required.,See evidence_text; source artifact remains unverified.
CASE029,REFERENCE,GitHub troubleshooting lab,Packet Tracer LAN Troubleshooting Challenge,https://github.com/Maro7420/PacketTracer-Troubleshooting-Challenge,evidence/public-labs/challenge/README.md,Subnetting and IPv4 troubleshooting objectives,The challenge explicitly documents IPv4 addressing and subnetting troubleshooting across LANs.; It does not identify this exact host-mask fault or provide inspectable output.,See evidence_text; source artifact remains unverified.
CASE030,VERIFIED,Public troubleshooting evidence + corrected solution,CCNA Networking Portfolio - Troubleshooting Lab 1 Phase 3,https://github.com/jahsonjb/CCNA-Networking-Portfolio/tree/main/troubleshooting-scenarios/troubleshooting-lab-1,evidence/public-labs/portfolio/troubleshooting-lab-1/troubleshooting-lab-1.pkt,"Missing OSPF network statement; route absent; corrected route advertisement; failure/success screenshots","The public lab explicitly states that VLAN 20 was omitted from OSPF, shows `show ip route 192.168.20.0` returning `% Network not in table`, documents the added network statement, and shows failed and successful R2 ping screenshots for the affected network. Screenshots: evidence/public-labs/portfolio/troubleshooting-lab-1/p3-r2-ping-fail.png and evidence/public-labs/portfolio/troubleshooting-lab-1/p3-r2-ping-success.png.","Verified from the public lab's explicit fault, command result, correction, and inspected screenshots; topology is three-router/OSPF rather than the case's simpler two-router description."
